"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",79249.7689235502,5.67285310090702,0.136408693345836,41.5871815920461,0,0
"2",50002.5743552844,10.5201586452729,0.225437647774552,46.6654915411179,0,0
"3",413082.813311923,14.1337338248296,0.280768225659424,50.3395061589842,0,0
"4",5141.1633285782,8.5050513145193,0.227174409973246,37.4384214996792,9.26941553555713e-307,7.06422157964809e-303
"5",6170.66103908839,-8.52016150417195,0.267485010092368,-31.8528559833307,1.20174168400311e-222,7.32677869903015e-219
"6",2223.86509311594,-6.23364378941637,0.199682429878051,-31.2177881310006,6.11203080567455e-214,3.10531911800305e-210
"7",126932.849692207,17.6666169888694,0.56998640526369,30.9948041316816,6.33356880831198e-211,2.75817873646546e-207
"8",23709.1379182565,9.12489484287763,0.298305390566884,30.5891047611884,1.70877696236256e-205,6.51129461508253e-202
"9",173446.544083628,-12.0063796120858,0.393762087611315,-30.4914566176758,3.38239840623286e-204,1.14565592239558e-200
"10",14528.5659083406,10.2274228791338,0.345503739668677,29.6014824295144,1.43004091496958e-192,4.35933672519326e-189
"11",11227.7162160135,-8.11174603311199,0.281344276616397,-28.8320989880028,8.49625918110008e-183,2.35454513524232e-179
"12",33043.0148105426,-6.78796435303263,0.239729205698368,-28.3151330404581,2.25052980106602e-176,5.71709587130805e-173
"13",23985.8329729528,-5.65833905062568,0.200423312943923,-28.2319405238494,2.37183126731257e-175,5.56176187328896e-172
"14",2402.86585126999,9.16688418431159,0.329389609227522,27.8299130498062,1.88559951947374e-170,4.10575826797411e-167
"15",1730.52681761215,4.46921860375408,0.166389442537304,26.8599890449906,6.44763625828768e-159,1.31033162465094e-155
"16",3272.69102049876,7.15895380784713,0.270080651882307,26.5067258907787,8.10776777181817e-155,1.54473245472566e-151
"17",12103.0407776596,-11.0379440805229,0.420376803566644,-26.2572625008625,5.90522719025714e-152,1.0589114451047e-148
"18",85711.2104404494,6.23745658563019,0.2437310553835,25.5915544936029,1.89429709451707e-144,3.20809736829214e-141
"19",15247.3743828169,12.3631232789011,0.485257316055713,25.477458803489,3.50466384096737e-143,5.6229564488447e-140
"20",8965.12478168217,-7.30410940253603,0.287705620717631,-25.3874407608625,3.47091240875625e-142,5.29036469342628e-139
"21",2168.79346981896,7.18231967294224,0.285779174543155,25.1324110107878,2.20066527009807e-139,3.19452762350808e-136
"22",1599.27921846146,7.81676854200124,0.316172132796955,24.7231420203031,6.0312325778483e-135,8.3570951774149e-132
"23",421.726806195189,6.61498480748276,0.271678148825331,24.3486082192635,5.99748570294751e-131,7.94901539863704e-128
"24",35290.1979267823,7.29433167741668,0.301996325504002,24.1537100335349,6.82564374151025e-129,8.66970515900827e-126
"25",3410.448178466,-6.06510873779808,0.251902017363458,-24.0772535340478,4.32774451663287e-128,5.27707855380145e-125
"26",31239.0505257255,7.1216473812438,0.299758373425656,23.7579597856006,9.09147512614974e-125,1.06594049132903e-121
"27",8280.49952197864,-11.5265495649581,0.485669255245363,-23.7333317694463,1.63328568352258e-124,1.84404002875934e-121
"28",13887.6809505083,-5.53644002667523,0.23342678662989,-23.7181006799084,2.3457424354662e-124,2.55384330009827e-121
"29",970.385691737934,4.47350248319844,0.189378958369202,23.621961603977,2.29258282932273e-123,2.40989982651979e-120
"30",25824.7502274095,-3.02384921195798,0.129795189760502,-23.2970822534917,4.74569015974951e-120,4.82225396099347e-117
"31",16261.2114708097,5.87065597451708,0.253436345714811,23.1642227872211,1.0451672693123e-118,1.02777029153923e-115
"32",4083.78355918411,10.8939785552555,0.473593149989927,23.0028212094858,4.36786709843151e-117,4.16093939464332e-114
"33",40423.56764188,-2.84393306603206,0.125283034791194,-22.7000652624033,4.47331020783958e-114,4.13225419320551e-111
"34",8711.09696629036,4.71827835967568,0.208868910243404,22.5896633164662,5.47634114657009e-113,4.91002304447185e-110
"35",3148.77173044723,4.6750138338991,0.207034793874458,22.5808123669007,6.69076604970273e-113,5.8274660645468e-110
"36",19249.822456192,3.45680700736222,0.153355175764941,22.5411825203782,1.63882886012836e-112,1.38772386033758e-109
"37",1746.94095225098,10.1496138699498,0.451854346626435,22.4621361855369,9.73915882114545e-112,8.02401398658913e-109
"38",8992.96752813581,-12.2842348719936,0.547584641065863,-22.4334905524058,1.85497750232318e-111,1.48808247844263e-108
"39",1141.29090362305,-5.10495603917882,0.228580712835634,-22.3332755237738,1.75575394683387e-110,1.3723693157765e-107
"40",69510.8944850864,12.5555981798965,0.563813115411031,22.2690778853969,7.37022656949751e-110,5.61684966861405e-107
"41",146789.062658372,10.5107126674356,0.478812867632321,21.9516086094552,8.35907961527166e-107,6.21507763394979e-104
"42",6005.07235203934,10.3131050742158,0.472155323613713,21.8426110189395,9.13810121599308e-106,6.63252089210317e-103
"43",50151.2719831254,12.5041981509336,0.574667765943124,21.7590038835956,5.67681120125153e-105,4.0244630850919e-102
"44",143626.529437884,20.5477291493421,0.946293362773229,21.7139102499086,1.51595602459133e-104,1.05028189667368e-101
"45",42447.6771814389,-10.9576650138937,0.507983544891042,-21.570905443884,3.37032523393599e-103,2.28313320958455e-100
"46",27847.3438662389,-14.3377212890892,0.6671415166853,-21.491274235677,1.87883799905022e-102,1.24509777310971e-99
"47",2926.45879691314,10.7085295387839,0.50279757074693,21.2978943451853,1.18739924016226e-100,7.70142094406519e-98
"48",23738.2342013148,14.6751984230163,0.690120761518262,21.2646818373221,2.41119910567608e-100,1.53131236536312e-97
"49",4331.79610057725,-10.8809339505215,0.512992260568988,-21.2107175621965,7.60443074975427e-100,4.73088708113284e-97
